date,longitude,latitude,sst_celsius,current_u_m_s,current_v_m_s,current_speed_m_s,current_direction_deg
2023-10-20,79.77777777777777,8.333333333333334,28.75,,,,
2023-10-20,79.77777777777777,8.722222222222221,28.73,-0.53,0.45,0.6952697318307479,310.333141628561
2023-10-20,79.77777777777777,9.11111111111111,28.79,,,,
2023-10-20,79.77777777777777,9.5,28.94,0.17,0.43,0.46238512086787564,21.5713071912546
2023-10-20,80.05555555555556,6.0,28.53,-2.78,2.64,3.833797073398643,313.52036422910317
2023-10-20,80.05555555555556,6.388888888888889,28.38,,,,
2023-10-20,80.05555555555556,6.777777777777778,28.59,,,,
2023-10-20,80.05555555555556,7.166666666666667,28.86,,,,
2023-10-20,80.05555555555556,7.555555555555555,28.91,,,,
2023-10-20,80.05555555555556,8.722222222222221,28.85,,,,
2023-10-20,80.05555555555556,9.11111111111111,28.97,,,,
2023-10-20,80.05555555555556,9.5,29.04,,,,
2023-10-20,80.33333333333333,6.0,28.5,,,,
2023-10-20,80.61111111111111,6.0,28.49,,,,
2023-10-20,80.61111111111111,9.5,,0.17,0.01,0.17029386365926402,86.63353933657021
2023-10-20,80.88888888888889,6.0,28.54,0.35,0.13,0.3733630940518894,69.62356478616361
2023-10-20,80.88888888888889,9.11111111111111,29.4,,,,
2023-10-20,80.88888888888889,9.5,29.39,-1.4,2.9,3.2202484376209237,334.2306723756613
2023-10-20,81.16666666666667,6.0,28.63,3.53,0.31,3.543585754571208,84.9812346589189
2023-10-20,81.16666666666667,8.722222222222221,29.32,0.14,-0.04,0.14560219778561037,105.94539590092286
2023-10-20,81.16666666666667,9.11111111111111,29.36,0.27,-0.45,0.524785670536077,149.03624346792648
2023-10-20,81.16666666666667,9.5,29.39,-1.73,-0.36,1.7670597047072292,258.24493724030054
2023-10-20,81.44444444444444,6.0,28.77,3.86,0.63,3.9110740212887816,80.73034887577438
2023-10-20,81.44444444444444,6.388888888888889,28.84,,,,
2023-10-20,81.44444444444444,7.944444444444445,29.39,,,,
2023-10-20,81.44444444444444,8.333333333333334,29.52,-0.01,-2.13,2.1300234740490533,180.26899229369647
2023-10-20,81.44444444444444,8.722222222222221,29.41,1.16,-0.14,1.1684177335182824,96.88172363063696
2023-10-20,81.44444444444444,9.11111111111111,29.39,1.1,0.54,1.2253978945632313,63.853158764419106
2023-10-20,81.44444444444444,9.5,29.38,-1.19,-0.38,1.2491997438360287,252.29027547613725
2023-10-20,81.72222222222223,6.0,28.77,-0.52,0.79,0.9457801012920498,326.64597424848324
2023-10-20,81.72222222222223,6.388888888888889,28.84,1.17,1.79,2.138457387931777,33.169886673831954
2023-10-20,81.72222222222223,7.944444444444445,29.39,0.82,1.0,1.2932130528261767,39.351752626264734
2023-10-20,81.72222222222223,8.333333333333334,29.52,1.26,1.54,1.9897738564972653,39.28940686250036
2023-10-20,81.72222222222223,8.722222222222221,29.41,1.26,2.51,2.8085049403552773,26.656286417662017
2023-10-20,81.72222222222223,9.11111111111111,29.39,1.8,0.54,1.879255171603899,73.30075576600639
2023-10-20,81.72222222222223,9.5,29.38,0.96,1.57,1.840244548966251,31.444324960084714
2023-10-20,82.0,6.0,28.74,-2.24,0.15,2.2450167037240503,273.83105136105667
2023-10-20,82.0,6.388888888888889,28.79,0.34,4.95,4.961663027655143,3.9292961151793864
2023-10-20,82.0,6.777777777777778,28.63,0.16,7.91,7.911618039314082,1.1587957959348971
2023-10-20,82.0,7.166666666666667,28.7,-0.58,13.37,13.38257449073234,357.51602620546345
2023-10-20,82.0,7.555555555555555,28.83,-0.37,16.11,16.114248353553446,358.68431333843245
2023-10-20,82.0,7.944444444444445,29.36,-0.52,16.84,16.848026590672273,358.2313336545969
2023-10-20,82.0,8.333333333333334,29.5,0.24,17.89,17.89160976547387,0.7685948712850081
2023-10-20,82.0,8.722222222222221,29.38,1.35,17.55,17.60184649404715,4.398705354995532
2023-10-20,82.0,9.11111111111111,29.38,4.06,15.8,16.313295191346228,14.411054401222087
2023-10-20,82.0,9.5,29.37,3.0,4.61,5.500190905777726,33.05443694745329
2023-10-27,79.5,6.0,28.89,-3.11,6.11,6.855960910040255,333.0238315637768
2023-10-27,79.5,6.388888888888889,29.01,-0.58,6.12,6.147422223989499,354.5861774270873
2023-10-27,79.5,6.777777777777778,29.12,1.61,4.21,4.507349553784352,20.927993899455338
2023-10-27,79.5,7.166666666666667,29.1,1.05,2.04,2.2943626565998674,27.235146699302526
2023-10-27,79.5,7.555555555555555,29.11,-1.81,2.5,3.0864380764888186,324.0954615900248
2023-10-27,79.5,7.944444444444445,29.08,-1.74,3.49,3.8997051170569295,333.5006549632845
2023-10-27,79.5,8.333333333333334,29.06,-1.62,2.28,2.7969268849935993,324.6052041550129
2023-10-27,79.5,8.722222222222221,29.33,-1.47,0.77,1.6594577427581578,297.64597536373867
2023-10-27,79.5,9.11111111111111,29.52,-0.14,0.49,0.5096076922496363,344.05460409907715
2023-10-27,79.5,9.5,29.71,-0.09,-0.25,0.26570660511172844,199.79887635452494
2023-10-27,79.77777777777777,6.0,28.89,-2.98,5.07,5.880926797707994,329.55421394845695
2023-10-27,79.77777777777777,6.388888888888889,29.01,-0.7,3.29,3.36364385748551,347.9885216136346
2023-10-27,79.77777777777777,6.777777777777778,29.12,-0.18,2.25,2.2571885167172017,355.4260787400991
2023-10-27,79.77777777777777,7.166666666666667,29.1,,,,
2023-10-27,79.77777777777777,7.555555555555555,29.11,,,,
2023-10-27,79.77777777777777,7.944444444444445,29.08,,,,
2023-10-27,79.77777777777777,8.333333333333334,29.06,,,,
2023-10-27,79.77777777777777,8.722222222222221,29.33,-0.67,0.02,0.6702984409947558,271.7098140441415
2023-10-27,79.77777777777777,9.11111111111111,29.52,,,,
2023-10-27,79.77777777777777,9.5,29.71,-0.09,-0.26,0.2751363298439521,199.0934920004856
2023-10-27,80.05555555555556,6.0,28.86,-3.37,3.33,4.737699863857989,314.6579397086415
2023-10-27,80.05555555555556,6.388888888888889,28.9,,,,
2023-10-27,80.05555555555556,6.777777777777778,29.12,,,,
2023-10-27,80.05555555555556,7.166666666666667,29.1,,,,
2023-10-27,80.05555555555556,7.555555555555555,29.11,,,,
2023-10-27,80.05555555555556,8.722222222222221,29.5,,,,
2023-10-27,80.05555555555556,9.11111111111111,29.72,,,,
2023-10-27,80.05555555555556,9.5,29.84,,,,
2023-10-27,80.33333333333333,6.0,28.86,,,,
2023-10-27,80.61111111111111,6.0,28.88,,,,
2023-10-27,80.61111111111111,9.5,,-0.05,0.05,0.07071067811865477,315.0
2023-10-27,80.88888888888889,6.0,28.96,0.06,0.05,0.07810249675906655,50.19442890773481
2023-10-27,80.88888888888889,9.11111111111111,29.61,,,,
2023-10-27,80.88888888888889,9.5,29.59,0.21,-1.89,1.9016308790088574,173.6598082540901
2023-10-27,81.16666666666667,6.0,28.94,0.66,0.77,1.0141498903022177,40.60129464500447
2023-10-27,81.16666666666667,8.722222222222221,29.59,0.05,0.19,0.19646882704388502,14.743562836470735
2023-10-27,81.16666666666667,9.11111111111111,29.59,0.6,0.53,0.8005623023850174,48.544766455594875
2023-10-27,81.16666666666667,9.5,29.58,-0.18,1.48,1.4909057649630308,353.0656510987304
2023-10-27,81.44444444444444,6.0,28.94,-0.04,1.51,1.510529708413575,358.4825858749879
2023-10-27,81.44444444444444,6.388888888888889,28.94,,,,
2023-10-27,81.44444444444444,7.944444444444445,29.52,,,,
2023-10-27,81.44444444444444,8.333333333333334,29.61,0.08,-1.23,1.2325988804148735,176.27868673525026
2023-10-27,81.44444444444444,8.722222222222221,29.65,0.83,0.02,0.8302409288875127,88.61964592655556
2023-10-27,81.44444444444444,9.11111111111111,29.64,0.6,-0.34,0.6896375859826667,119.5387822595581
2023-10-27,81.44444444444444,9.5,29.64,-0.3,0.0,0.3,270.0
2023-10-27,81.72222222222223,6.0,28.94,-1.5,4.75,4.981214711292819,342.4744316262771
2023-10-27,81.72222222222223,6.388888888888889,28.94,1.56,4.35,4.62126606029127,19.72888398827493
2023-10-27,81.72222222222223,7.944444444444445,29.52,1.14,-1.45,1.8444782460088816,141.82532646447558
2023-10-27,81.72222222222223,8.333333333333334,29.61,-0.04,-1.24,1.240644993541666,181.8476102659946
2023-10-27,81.72222222222223,8.722222222222221,29.65,1.46,-0.69,1.6148374531202823,115.29554640032657
2023-10-27,81.72222222222223,9.11111111111111,29.64,0.5,-0.38,0.6280127387243033,127.23483398157467
2023-10-27,81.72222222222223,9.5,29.64,-0.08,-0.32,0.3298484500494129,194.03624346792648
2023-10-27,82.0,6.0,28.96,-4.02,6.94,8.020224435762382,329.91840132658655
2023-10-27,82.0,6.388888888888889,28.96,-0.73,7.73,7.764393086391235,354.6051435766179
2023-10-27,82.0,6.777777777777778,29.05,0.79,9.25,9.283673841750366,4.881523528938836
2023-10-27,82.0,7.166666666666667,29.14,-0.45,9.91,9.920211691289657,357.4000603900517
2023-10-27,82.0,7.555555555555555,29.25,0.24,9.78,9.782944342067983,1.4057492610463351
2023-10-27,82.0,7.944444444444445,29.47,0.88,7.34,7.392563831310488,6.836617209848884
2023-10-27,82.0,8.333333333333334,29.62,0.21,3.4,3.4064791207344864,3.5343671387647557
